time,poa_diffuse,poa_global,poa_direct,temp_air,wind_speed
2023-01-01 00:05:00+00:00,0.0,0.0,0.0,14.85,2.62
2023-01-01 01:05:00+00:00,0.0,0.0,0.0,14.48,2.41
2023-01-01 02:05:00+00:00,0.0,0.0,0.0,14.1,2.21
2023-01-01 03:05:00+00:00,0.0,0.0,0.0,13.7,2.07
2023-01-01 04:05:00+00:00,58.309999999999995,184.79999999999998,126.49,13.52,1.86
2023-01-01 05:05:00+00:00,106.10000000000001,480.61,374.51,15.88,1.72
2023-01-01 06:05:00+00:00,129.96,719.44,589.48,18.57,2.9
2023-01-01 07:05:00+00:00,102.05,950.0699999999999,848.02,20.53,3.79
2023-01-01 08:05:00+00:00,151.73000000000002,1050.53,898.8,22.2,4.76
2023-01-01 09:05:00+00:00,281.69,1039.69,758.0,23.46,5.24
2023-01-01 10:05:00+00:00,290.56,1032.49,741.93,23.91,5.38
2023-01-01 11:05:00+00:00,251.57999999999998,983.54,731.96,24.43,5.45
2023-01-01 12:05:00+00:00,374.55,626.08,251.53,24.41,5.38
2023-01-01 13:05:00+00:00,289.77,429.73,139.96,24.06,5.24
2023-01-01 14:05:00+00:00,119.01,457.24,338.23,23.35,5.17
2023-01-01 15:05:00+00:00,60.239999999999995,160.87,100.63,21.95,4.69
2023-01-01 16:05:00+00:00,0.0,0.0,0.0,20.38,4.0
2023-01-01 17:05:00+00:00,0.0,0.0,0.0,19.18,3.86
2023-01-01 18:05:00+00:00,0.0,0.0,0.0,18.16,3.66
2023-01-01 19:05:00+00:00,0.0,0.0,0.0,17.61,3.52
2023-01-01 20:05:00+00:00,0.0,0.0,0.0,16.96,3.38
2023-01-01 21:05:00+00:00,0.0,0.0,0.0,16.36,3.17
2023-01-01 22:05:00+00:00,0.0,0.0,0.0,15.77,2.9
2023-01-01 23:05:00+00:00,0.0,0.0,0.0,15.33,2.55
2023-01-02 00:05:00+00:00,0.0,0.0,0.0,14.84,2.21
2023-01-02 01:05:00+00:00,0.0,0.0,0.0,14.35,1.79
2023-01-02 02:05:00+00:00,0.0,0.0,0.0,13.81,1.66
2023-01-02 03:05:00+00:00,0.0,0.0,0.0,13.32,1.59
2023-01-02 04:05:00+00:00,10.41,10.41,0.0,13.12,1.52
2023-01-02 05:05:00+00:00,158.60999999999999,189.35999999999999,30.75,15.49,2.07
2023-01-02 06:05:00+00:00,250.88000000000002,277.23,26.35,17.46,5.03
